time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-04T15:14:25.886Z,39.1155,-119.7303,8.4,3.2,ml,29,33.24,0.043,0.2119,nn,nn00668094,2019-02-16T19:52:19.040Z,"5km NE of Indian Hills, Nevada",earthquake,,0.9,0.34,15,reviewed,nn,nn
2018-12-04T00:05:59.030Z,37.5425,-121.8381667,3.88,2.59,md,73,31,0.03914,0.07,nc,nc73118896,2018-12-04T23:57:04.383Z,"8km SE of Sunol, CA",earthquake,0.1,0.3,0.155,79,reviewed,nc,nc
2018-12-03T22:44:56.920Z,33.4906667,-116.8038333,2.42,3.1,ml,141,11,0.02184,0.22,ci,ci38152023,2019-02-16T19:52:17.040Z,"8km NE of Aguanga, CA",earthquake,0.1,0.26,0.153,221,reviewed,ci,ci
2018-12-03T21:50:08.900Z,40.9818333,-123.5788333,27.47,3.4,ml,40,40,0.1582,0.17,nc,nc73118836,2019-02-16T19:52:17.040Z,"6km NE of Willow Creek, CA",earthquake,0.4,1.09,0.278,19,reviewed,nc,nc
2018-12-03T16:28:24.410Z,32.9176667,-116.2215,11.08,2.75,ml,90,52,0.1634,0.22,ci,ci38151303,2018-12-04T00:31:07.859Z,"26km SSW of Ocotillo Wells, CA",earthquake,0.14,0.45,0.15,109,reviewed,ci,ci
2018-12-03T05:26:42.320Z,39.8281667,-122.7723333,2.4,2.55,md,25,69,0.0915,0.07,nc,nc73118476,2018-12-04T05:13:02.615Z,"20km NNW of Alder Springs, CA",earthquake,0.17,1.15,0.207,48,reviewed,nc,nc
2018-12-01T09:35:37.043Z,35.8895,-115.761,1.4,2.5,ml,50,45.9,0.296,0.178,nn,nn00667735,2019-02-09T19:02:16.040Z,"14km NW of Sandy Valley, Nevada",earthquake,,1.2,0.35,24,reviewed,nn,nn
2018-12-01T04:37:58.000Z,38.7718333,-122.7318333,1.99,2.83,md,61,38,0.01159,0.07,nc,nc73117756,2018-12-06T16:34:52.156Z,"2km ESE of The Geysers, CA",earthquake,0.12,0.23,0.165,47,reviewed,nc,nc
2018-11-29T22:37:14.550Z,36.0053333,-117.7996667,1.74,2.57,ml,35,48,0.02398,0.11,ci,ci38149215,2018-11-30T00:31:14.670Z,"12km NE of Little Lake, CA",earthquake,0.11,0.13,0.122,23,reviewed,ci,ci
2018-11-29T13:48:53.480Z,33.014,-115.9866667,10.64,3.91,mw,99,32,0.1277,0.25,ci,ci38148759,2019-02-09T19:02:11.040Z,"20km SE of Ocotillo Wells, CA",earthquake,0.15,0.52,,3,reviewed,ci,ci
2018-11-29T02:46:19.360Z,36.1818333,-120.2843333,9.91,2.81,md,43,117,0.1685,0.07,nc,nc73116906,2018-11-29T23:10:02.434Z,"8km NE of Coalinga, CA",earthquake,0.22,0.66,0.157,100,reviewed,nc,nc
2018-11-27T17:29:57.980Z,36.0743333,-120.1931667,10.83,2.87,md,63,54,0.06897,0.08,nc,nc73116451,2018-11-28T04:12:11.610Z,"10km NW of Avenal, CA",earthquake,0.2,0.38,0.147,90,reviewed,nc,nc
2018-11-27T16:00:51.120Z,36.0725,-120.1968333,10.69,2.5,md,60,86,0.07157,0.07,nc,nc73116431,2018-11-28T03:38:04.151Z,"10km NW of Avenal, CA",earthquake,0.23,0.37,0.161,65,reviewed,nc,nc
2018-11-27T13:07:12.830Z,36.0735,-120.1881667,10.8,4,mw,92,51,0.06483,0.11,nc,nc73116386,2019-02-09T19:02:10.040Z,"9km NW of Avenal, CA",earthquake,0.18,0.32,,5,reviewed,nc,nc
2018-11-23T11:08:41.547Z,40.5846,-119.6967,4.8,2.5,ml,10,151.56,0.648,0.1701,nn,nn00666675,2019-02-02T20:02:32.040Z,"26km W of Gerlach-Empire, Nevada",earthquake,,9.2,0.21,8,reviewed,nn,nn
2018-11-23T09:54:00.550Z,40.2191667,-122.1323333,19.1,2.56,md,19,82,0.01195,0.09,nc,nc73114261,2018-11-24T03:57:04.404Z,"10km ENE of Red Bluff, CA",earthquake,0.35,0.59,0.136,35,reviewed,nc,nc
2018-11-21T21:20:49.715Z,38.8614,-118.8762,8.7,2.5,ml,34,77.12,0.31,0.141,nn,nn00666572,2019-02-02T20:02:28.040Z,"28km ESE of Yerington, Nevada",earthquake,,1.9,0.31,14,reviewed,nn,nn
2018-11-20T19:07:57.220Z,37.8088333,-122.1956667,6.88,2.55,md,97,24,0.01598,0.09,nc,nc73113341,2019-02-13T03:53:56.823Z,"3km ENE of Oakland, CA",earthquake,0.1,0.15,0.191,85,reviewed,nc,nc
2018-11-17T18:39:02.940Z,36.9681667,-121.6096667,3.95,2.76,md,70,30,0.02558,0.1,nc,nc73112111,2018-11-22T16:47:57.581Z,"6km SW of Gilroy, CA",earthquake,0.12,0.24,0.173,104,reviewed,nc,nc
2018-11-17T18:32:39.450Z,35.4813333,-121.3178333,18.13,2.71,md,88,202,0.2303,0.18,nc,nc73112101,2018-11-20T03:17:03.638Z,"22km SSW of San Simeon, CA",earthquake,0.46,0.27,0.211,62,reviewed,nc,nc
2018-11-16T10:31:06.020Z,32.626,-115.5501667,5.43,2.9,ml,36,75,0.06518,0.25,ci,ci38135087,2018-11-19T20:32:30.809Z,"6km NNE of Progreso, B.C., MX",earthquake,0.33,0.73,0.154,83,reviewed,ci,ci
2018-11-16T08:57:11.190Z,34.207,-116.8603333,2.42,2.94,ml,117,22,0.07449,0.14,ci,ci38134999,2018-11-17T07:22:21.786Z,"6km SSW of Big Bear City, CA",earthquake,0.08,0.29,0.163,183,reviewed,ci,ci
2018-11-16T05:38:49.460Z,33.1596667,-115.6338333,3.01,2.94,ml,64,26,0.02341,0.24,ci,ci38134895,2019-01-30T18:36:25.040Z,"12km WNW of Calipatria, CA",earthquake,0.16,0.27,0.17,94,reviewed,ci,ci
2018-11-15T23:12:50.830Z,40.3841667,-123.768,23.34,2.52,md,34,39,0.0583,0.14,nc,nc73111381,2018-11-16T23:47:03.134Z,"30km N of Redway, CA",earthquake,0.21,0.33,0.138,31,reviewed,nc,nc
